Year,Series,Series Label,Economy,Economy Label,Flow,Flow Label,US dollars at current prices in millions,US dollars at current prices in millions Footnote,Percentage of imports,Percentage of imports Footnote,Percentage of Gross Domestic Product,Percentage of Gross Domestic Product Footnote,Normalized trade balance,Normalized trade balance Footnote
2017,3503,"Balance of payments: Current account - BPM6",3922,"GSTP: Africa",14,"Balance",-52378.636,,-20.60047,,-4.22362,,-0.1148,
2017,3503,"Balance of payments: Current account - BPM6",3923,"GSTP: Latin America",14,"Balance",75038.406,,8.65888,,1.42122,,0.0415,
2017,3503,"Balance of payments: Current account - BPM6",3924,"GSTP: Asia",14,"Balance",106478.764,,4.67424,,1.28521,,0.0228,
2017,3503,"Balance of payments: Current account - BPM6",3932,"TPP (Trans-Pacific Partnership)",14,"Balance",178077.286,,6.98613,,1.66897,,0.0338,
2017,3503,"Balance of payments: Current account - BPM6",3940,"ACP: Africa",14,"Balance",-736.251,,-0.23689,,-0.04358,,-0.0012,
2017,3503,"Balance of payments: Current account - BPM6",3941,"ACP: Western Africa",14,"Balance",9314.875,,11.23276,,1.61729,,0.0532,
2017,3503,"Balance of payments: Current account - BPM6",3942,"ACP: Eastern Africa",14,"Balance",-35102.39,,-43.37496,,-9.8464,,-0.2769,
2017,3503,"Balance of payments: Current account - BPM6",3943,"ACP: Central Africa",14,"Balance",26228.45,,62.74228,,10.66377,,0.2388,
2017,3503,"Balance of payments: Current account - BPM6",3944,"ACP: Southern Africa",14,"Balance",2942.734,,3.03608,,0.76039,,0.015,
2017,3503,"Balance of payments: Current account - BPM6",3945,"ACP: Caribbean",14,"Balance",-23953.801,,-45.70406,,-9.53901,,-0.2962,
2017,3503,"Balance of payments: Current account - BPM6",3946,"ACP: Pacific",14,"Balance",3757.118,,47.48354,,10.83691,,0.1919,
2017,3503,"Balance of payments: Current account - BPM6",3947,"ACP: LDCs",14,"Balance",-16382.28,,-13.08704,,-2.50244,,-0.07,
2017,3503,"Balance of payments: Current account - BPM6",3948,"ACP: LLDCs",14,"Balance",-17183.229,,-30.36378,,-6.9248,,-0.179,
2017,3503,"Balance of payments: Current account - BPM6",3949,"ACP: islands states",14,"Balance",-24013.832,,-36.37942,,-7.87933,,-0.2223,
2017,3503,"Balance of payments: Current account - BPM6",3950,"ACP: Northern Africa",14,"Balance",-4119.92,,-50.11885,,-3.32194,,-0.3344,
2017,3503,"Balance of payments: Current account - BPM6",398,"Kazakhstan",14,"Balance",16715.558,,54.72621,,10.02097,,0.2148,
2017,3503,"Balance of payments: Current account - BPM6",400,"Jordan",14,"Balance",-10230.423,,-57.81602,,-25.13052,,-0.4066,
2017,3503,"Balance of payments: Current account - BPM6",404,"Kenya",14,"Balance",-10214.797,,-63.86715,,-12.96996,,-0.4692,
2017,3503,"Balance of payments: Current account - BPM6",408,"Korea, Dem. People's Rep. of",14,"Balance",-2080,,-52.92621,,-11.97831,,-0.3599,
2017,3503,"Balance of payments: Current account - BPM6",410,"Korea, Republic of",14,"Balance",113592.9,,24.33869,,6.99506,,0.1085,
2017,3503,"Balance of payments: Current account - BPM6",414,"Kuwait",14,"Balance",25647.868,,86.86281,,21.4565,,0.3028,
